question,label
건설 현장에서 일하다가 다쳐서 연골절제 수술을 했어요 관련 판결문 보여주세요.,B-LOC E-LOC O O S-INJURY O O O O O
현장에서 일하다 사고가나서 연골절제 했어,S-LOC O O S-INJURY O
일하다 다쳐서 연골절제 수술을 했어 판결문 보여줘,B-LOC O S-INJURY O O O O
건설 현장에서 다쳐서 연골절제 수술을 했어,B-LOC E-LOC O S-INJURY O O
건설 현장에서 사고가 나서 연골 절제 수술을 했어,B-LOC E-LOC O O B-INJURY E-INJURY O O
지난주에 다쳐서 수술했어. 관련 자료 보여줘,O O O O O O
사고나서 수술했어 관련 자료 보여줘,O O O O O
사고 관련 판결문 보여줘,O O O O
다쳤는데 관련 자료 보여줄래,O O O O
야 회사에서 일하다가 넘어져서 수술했어,O O S-LOC S-ACC O
사고로 인한 판결문들에 대해 알수있을까?,O O O O O
일하다 미끄러져서 어깨탈골로 와순 파열 수술을 받았어,S-LOC S-ACC S-INJURY O O O O
아버지가 건설 현장에서 일용직 근로자로 일하시다 추락사고를 당하셔서 목에 심한 부상을 입었어,O B-LOC E-LOC O O O S-ACC O B-INJURY O E-INJURY O
작업 중 5미터 높이에서 추락하는 사고가 나서 골절 근육의 다발성 부분파열이 생겼어,B-LOC E-LOC O O S-ACC O O S-INJURY O O O O
현장에서 거푸집 동바리 해체작업을 하던중 붕괴된 계단슬래브에 깔려 중증 뇌손상으로 사망했어,S-LOC O O O O O O S-ACC O S-INJURY O
비계파이프가 떨어지는 사고로 좌상을 입었어 요양비용 청구 가능할까?,O S-ACC O S-INJURY O O O O
식당에서 배달원으로 일하던중 교통사고를 당해서 연골손상을 입었어,S-LOC O O S-ACC O S-INJURY O
업무중 목재 재단기에 손가락이 절단되는 사고를 당했는데 병원에서 봉합수술을받고 치료중이야,S-LOC O O B-INJURY E-INJURY O O O O O
아파트 건설 중 추락해서 허리골절로 수술입원중입니다. 휴업 청구 가능한가요?,O B-LOC E-LOC S-ACC S-INJURY O O O O
배민커넥트 킥보드 배달 도중 교통사고로 팔꿈치 부분이 부서져서 입원중입니다.,O O B-LOC E-LOC S-ACC B-INJURY O E-INJURY O
얼마전 일용직으로 일한지 며칠 안된 신입 근로자가 비온다음날 출근길에 오토바이 교통사고를 당해 입원했습니다,O O O O O O O O S-LOC O S-ACC O O
안녕하세요 얼마전 배달업을하다 사고가나서 리스프랑관절 탈구골절 외측복사뼈 골절이 되서 입원중에 있고 산재를 신청해놓은 상태입니다.,O O S-LOC O O O O S-INJURY O O O O O O
저희 아버지께서 조선소에서 일을하시다 얼굴이 설비에 협착되는 큰 사고를 당하셨습니다. 출혈과 두개골 골절 및 현재 수술대기중에 계십니다.,O O O S-LOC O O S-ACC O O O O O S-INJURY O O O O
건물지붕에서 작업을 하다가 6m정도 되는 높이에서 떨어져 의식이 없는채로 병원으로 옮겨져 두개골골절로 11시경에 긴급 수술을 받았습니다,S-LOC O O O O O S-ACC O O O O S-INJURY O O O O
영업용승합차 운전중 교통사고로 흉추압박골절 12주 진단 받고 현재 5개월째 통원치료중입니다,O S-LOC S-ACC S-INJURY O O O O O O
일하다가 사고로 손가락 탈구및 절단으로 인해 6개월간 수술및 재활치료중입니다,S-LOC O B-INJURY I-INJURY E-INJURY O O O O
얼마전 일을하다가 사고를 당했습니다 화상으로 얼굴과 양손에 2도화상을 입었는데 이마쪽과 손에 흉터가 남을 것으로 예상이 됩니다.,O S-LOC O O S-ACC O O S-INJURY O O O O O O O O
"어머니가 공장에서 근무하시다가 마감 청소중 팔이 레일에 끼여서 팔꿈치 윗부분의 골절, 혈관과 신경, 근육조직이 손상이되어 오늘 긴급수술을 받으셨습니다.",O S-LOC O O O O O S-ACC O O S-INJURY O O O O O O O
조선소에서 일을하다 얼굴이 설비에 협착되는 큰 사고를 당했어요,O S-LOC O O S-ACC O O O
쿠팡맨 배송직 일을 하고있는데요 얼마전에 배송중 트럭에 의해 사고가 났습니다.,O O O O O S-LOC B-ACC O E-ACC O
어제 근무중 가공된철물을 크레인으로 올리고 그밑에 받침을 넣은 작업중에 정위치가아닌 옆쪽으로 손을넣었다가 협착사고가 나서 손가락두개를 다쳐 수술했습니다,O S-LOC O O O O O O O O O O S-ACC O B-INJURY E-INJURY O
"건설회사에 취업하여 일하던중 손가락 끝마디가 골절되어 손톱까지 뽑혔습니다.
 손톱 봉합 수술을 했지만 현재까지 안자라고 있구요",O O S-LOC B-INJURY I-INJURY E-INJURY O O O O O O O O O
"저희회사에서 2015년 초 산재사고가 나서 여성분이 다치셨습니다.
 돌아가는 벨트에 손이 협착되여 오른손 손가락이 대부분 절단되는 사고였습니다.",O O O O O O O O O O S-ACC O B-INJURY O E-INJURY O
사다리위에서 작업을 하다 사다리가 흔들려서 그만 4층 높이에서 낙상을 하였습니다,O S-LOC O O O O O O S-ACC O
피잣집 배달 알바하던 중 버스와 교통사고가 났습니다,O O S-LOC O O S-ACC O
비 온 다음날 출근길에 오토바이 교통사고를 당해 입원했습니다,O O O S-LOC O S-ACC O O
퇴근하다 교통사고가 나서 병원 입원중입니다,S-LOC S-ACC O O O
회사에서 일을하다 발목골절 사고가 발생하였읍니다,S-LOC O S-INJURY O O
출근도중에 4거리에서 좌회전 신호를 기다리고 있던 도중 뒤에서 차가 받아서 병원에 입원하게 되었습니다,O O O O O O O O B-ACC E-ACC O O O
대형 프렌차이즈 매장의 배달 아르바이트를 하다가 사고가 났습니다.,O O O O S-LOC O O O
건설 현장에서 일하다가 추락 사고로 갈비뼈 두대 부러졌습니다,B-LOC E-LOC O S-ACC O B-INJURY O E-INJURY
공장에서 근무하다가 청소중 팔이 레일에 끼였어요,B-LOC E-LOC O O B-ACC E-ACC
얼굴이 설비에 협착되는 일 이 있었어요,O B-ACC E-ACC O O O
저는 건설회사(노가다)에 근무하다가 업무중 지상에서 낙하하는 물체에 가슴이 부딪쳤습니다.,O O O S-LOC O O B-ACC O E-ACC
회사에서 작업중 손가락 끼임사고로 오른손 두번째손가락 첫마디가 골절되고 피부도 찟기는 사고를 당했습니다.,O S-LOC O S-ACC O B-INJURY I-INJURY E-INJURY B-INJURY E-INJURY O O
지난 주에 손가락 끼임으로 인해 타박상 및 철과상을 입었고 반깁스를 했습니다.,O O B-ACC E-ACC O S-INJURY O S-INJURY O O O
물류 일용직 아르바이트를 하다 컨베이어 벨트에 끼임사고를 당했습니다,O O S-LOC O O O S-ACC O
저희남편이 부산에서 일을 하다가 손가락 끼임을 당해서 뼈가 조각나는 사고를 당했어요,O O S-LOC O B-ACC E-ACC O B-INJURY E-INJURY O O
지게차 끼임 사고로 개방성 무릎골절이 되었어요,B-ACC E-ACC O O O O
식당주방에서 근무중 뜨거운 식용유로 화상을 입었어요,O S-LOC O O S-INJURY O
일하다가 무거운 물체에 오른쪽 어깨를 깔리고 어깨수술 했어요,S-LOC O E-ACC O O E-ACC S-INJURY O
배달중 단독 사고 야간 주행중 갑자기 튀어나온 동물과충돌후 오토바이에 무릎이 깔림으 전방십자인대 파열 진단을 받고 입원중에 있습니다,S-LOC O O O O O O B-ACC I-ACC E-ACC O B-INJURY E-INJURY O O O O
식당에서 일하는중 화상을 입었어요 요양비용 청구가 될까요?,O S-LOC S-INJURY O O O O
지게차를 운전하다가 끼여서 수술을 했어요,B-ACC O E-ACC O O
아버지가 일을하시다가 손가락이 끼여 수술을 했습니다. 관련 자료 보여주세요,O S-LOC O S-ACC O O O O O
식당 주방에서 근무중 위에서 떨어지는 물건에 깔려 골절됬어요,O O S-LOC O O B-ACC E-ACC S-INJURY
배달 일을 하다가 교통사고 나서 다리가 부러졌어요,O S-LOC O S-ACC O B-INJURY E-INJURY
주방에서 청소하는 중에 미끄러져서 갈비뼈가 골절 되었어요,O O O S-ACC B-INJURY E-INJURY O
퇴근 하다가 뒤에 오는 차에 교통사고가 나서 입원중이에요,S-LOC O O O O S-ACC O O
비오는 날에 배달 일을 하다가 미끄러져 입원중이에요,O O S-LOC O O S-ACC O
사다리 작업을 하는중 떨어져 입원했습니다. 요양비용에 대해 알려주세요,O S-LOC O S-ACC O O O O
공장에서 일을 하는중 벨트에 손이끼어 절단 되었어요,S-LOC O O O S-ACC S-INJURY O
작업중에 무거운 물건때문에 손가락이 골절되었어요,S-LOC O O B-INJURY E-INJURY
공장에서 청소중에 미끄러져 다리가 부러졌어요,S-LOC O S-ACC B-INJURY E-INJURY
배달 아르바이트를 하다가 사고가 나서 수술했어요,O S-LOC O O O O
작업중에 재단기에 손가락이 절단되어 봉합수술 했어요,S-LOC O B-INJURY E-INJURY O O
식당에서 배달원으로 일하는중에 교통사고 나서 입원했어요,O O S-LOC S-ACC O O
건설 현장에서 무거운 물건을 옮기다가 깔렸어요 현재 입원중입니다.,S-LOC O O O O S-ACC O O
지붕 수리를 하던중 추락해서 다리와 갈비뼈가 부러졌어요,O O O S-ACC O B-INJURY E-INJURY
철골 작업을 하다가 추락사고를 당해서 현재 수술을 받았어요,O S-LOC O S-ACC O O O O
비닐을 밟고 미끄러져 철조물에 허벅지가 베이는 사고가 발생하였고 봉합수술을 하였습니다,O O S-ACC O B-INJURY E-INJURY O O O O
작업중에 미끄러져 철조물에 찔려 봉합수술을 했습니다.,S-LOC S-ACC O O S-INJURY O
직장동료가 커터칼에 손가락을 깊게 베여서 인대가 절단되었어요,O O O O S-ACC B-INJURY E-INJURY
식당에 일하시는 아주머니께서 출근하시다가 주방에서 넘어지면서 하체쪽 관절을 다치셨어요 수술도 하셔서 3달간 입원하셔야 하는거 같아요,O O O S-LOC O S-ACC O B-INJURY E-INJURY O O O O O O
어머니가 식당 에서 1일 아르바이트 형식으로 근무를 하시다 식당에서 미끄러져서 뼈에 금이가는 부상을 입으시고 병원에서 3주째 입원 중이십니다,O O O O S-LOC O O O O S-ACC B-INJURY E-INJURY O O O O O O
건설 현장에서 붕괴된 철조물에 깔려 갈비뼈가 부러졌어요,B-LOC E-LOC O B-ACC E-ACC B-INJURY E-INJURY
배달원으로 일하던중 교통사고가 나서 팔이 부러졌어,O S-LOC S-ACC O B-INJURY E-INJURY
재단기를 사용하다가 손가락이 절단되었어,O O B-INJURY E-INJURY
건설 작업중 추락해서 다리 골절로 입원중이에요,O S-LOC S-ACC B-INJURY E-INJURY O
지붕에서 일을 하다가 낙상을 해서 현재 수술후 입원중이에요,O S-LOC O S-ACC O O O O
쿠팡 배송중 교통사고 났어요,O S-LOC S-ACC O
배민 커넥트를 자전거 타고 일하던중 트럭에 부딪혀 허리가 골절되었어요,O O O O S-LOC B-ACC E-ACC B-INJURY E-INJURY
작업하는 기계에 손이 끼여 절단 하는 사고가 발생했어요 현재 봉합수술했어요,O B-ACC O E-ACC S-INJURY O O O O O
현장에서 낙상했는데 관련 산재 판결문 보여줄래?,S-LOC S-ACC O O O O
치킨집 배달중 지나가던 버스와 교통사고 났어요. 현재 팔다리가 모두 골절이야,O S-LOC O O S-ACC O O B-INJURY O E-INJURY
일하는 도중 무거운 물건이 떨어져 가슴에 부딪쳤고 갈비뼈가 부러졌어요,S-LOC O O B-ACC E-ACC O O B-INJURY E-INJURY
업무를 하던중 손가락이 끼였어요 현재 수술을 받았습니다.,S-LOC O O S-ACC O O O
식당에서 근무중 미끄러져 다리와 팔이 부러졌어요,O S-LOC S-ACC B-INJURY I-INJURY E-INJURY
회사에서 일하다 2층 5미터 높이에서 떨어졌어요.,O S-LOC O O O S-ACC
"작업중에 2미터정도 높이에서 추락하여 옆구리와 머리에
 충격을 입었읍니다",S-LOC O O S-ACC O B-INJURY E-INJURY O
산재로 추락사고를 입어 허리가 부러졌습니다.,O S-ACC O B-INJURY E-INJURY
"닷새전 퇴근길에 교통사고를 당해
 오른쪽 팔 요골 골절로 바로 수술받고 입원중에 있습니다",O S-LOC S-ACC O O B-INJURY I-INJURY E-INJURY O O O O
퇴근길에 교통사고로 입원했습니다.,S-LOC S-ACC O
야근(새벽1시) 후 택시타고 퇴근길에 교통사고가 났습니다.,O O O S-LOC S-ACC O
"회사에서 작업하다 카고 크레인에 협착사고로 7개월째
 입원중입니다",S-LOC O O O S-ACC O O
제가 같이 일하던 직원하고 일하다가 손이 한쪽 협착 되서 급히 장비 off하여 엄지손가락 한마디 없어졌습니다.,O O O O S-LOC O O S-ACC O O O O B-INJURY E-INJURY O
회사에서 근무중에 화물에 손가락이 끼이는 사고가 발생햇습니다,O S-LOC B-ACC O E-ACC O O
배관일을 하는중 같이일하는 사람의 부주의로 파이프와 파이프사이 오른손 중지 손가락이 협착되어 전치2주 진단을 받았습니다,B-LOC E-LOC O O O O O O O O S-ACC O O O
근무중에 자동 조립기에 새끼손가락이 협착되어 골절되고 신경의 대부분이 손상되었어요,S-LOC O O O S-ACC S-INJURY O O O
회사에서 일하다가 허리와 엄지손가락 협착사고를 당했습니다.,O S-LOC O O S-ACC O
일하는 도중 손가락 협착사고 당했어요,S-LOC O O S-ACC O
"제 어머니가 일을 하시다가 같은 사업장 직원이 운전하는 지게차에 발이 밟혀 중족골이 두군데 골절, 입방뼈 골절로 수술을 받게 되었어요",O O S-LOC O O O O O B-ACC O E-ACC O O S-INJURY O S-INJURY O O O
근무중에 화물에 손가락이 끼이는 사고가 발생했어요,S-LOC B-ACC O E-ACC O O
일을 하다가 자동 조립기에 새끼손가락이 협착되어 신경의 대부분이 손상되었어요,S-LOC O O B-ACC O E-ACC O O O
야근후 퇴근길에 교통사고가 났습니다.,O S-LOC S-ACC O
업무중에 추락하여 옆구리와 머리에 충격을 입었어요,S-LOC S-ACC B-INJURY I-INJURY E-INJURY O
근무중에 화물에 손가락이 끼였어요,S-LOC B-ACC O E-ACC
식당 에서 근무를 하시다 식당에서 미끄러져서 뼈에 금이가는 부상을 입었어요,O O S-LOC O O S-ACC B-INJURY E-INJURY O O
배달중 단독 사고로 입원중에 있습니다,S-LOC O O O O
무거운 물체를 나르는 회사에서 근무를 하다 작년 12월 말경 허리를 삐끗햇습니다,O O O O S-LOC O O O O B-INJURY E-INJURY
근무중 미끄러져서 어깨탈골로 수술을 받았어,S-LOC S-ACC B-INJURY E-INJURY O
건설 현장에서 해체작업을 하던중 붕괴된 물체에 깔려 갈비뼈에 금이 갔어요,B-LOC E-LOC O O O B-ACC E-ACC B-INJURY E-INJURY O
파이프가 떨어지는 사고로 입원 했어요 요양비용 청구 가능할까?,B-ACC E-ACC O O O O O O
배민커넥트 킥보드 배달 도중 트럭에 부딪혀 다리 부분이 부서져 입원했어요,O O S-LOC O B-ACC E-ACC B-INJURY O E-INJURY O
조선소에서 일을하다 설비에 협착되는 큰 사고를 당했습니다.,O S-LOC B-ACC E-ACC O O O
건물지붕에서 작업을 하다가 6m정도 되는 높이에 떨어져 입원했어요,O S-LOC O O O O S-ACC O
건물지붕에서 수리를 하다가 떨어져 긴급 수술을 받았습니다,O S-LOC O S-ACC O O O
오늘 쿠팡맨 배송중 트럭에 의해 사고가 났습니다.,O O S-LOC B-ACC O E-ACC O
쿠팡맨 배송직 일을 하다가 마주오는 승용차에 사고가 났습니다.,O S-LOC O O O B-ACC E-ACC O
공장에서 벨트에 손이협착되여 손가락이 대부분 절단되는 사고였습니다.,O B-ACC E-ACC B-INJURY O E-INJURY O
작동되는 벨트에 손이협착되여 오른쪽 3개를 수술해야 했습니다,O B-ACC E-ACC O O O O
쿠팡잇츠 배달 알바하던 중 버스와 교통사고가 났습니다,O B-LOC E-LOC O O S-ACC O
쿠팡잇츠 배달 중 트럭에 교통사고가 났습니다,O S-LOC O O S-ACC O
비 오는날 배달업무를 하다가 교통사고를 당해 입원했습니다,O O S-LOC O S-ACC O O
비 오는날 짜장면 배달을 하다가 교통사고를 당해 입원했습니다,O O O S-LOC O S-ACC O O
손가락 끼임으로 인해 타박상 및 철과상을 입었어요,O S-ACC O S-INJURY O S-INJURY O
남편이 일을하다가 손가락이 끼여서 뼈가 조각났어요,O S-LOC O S-ACC B-INJURY E-INJURY
식당에서 배달원으로 일하는중에 교통사고 나서 다리가 골절됬어요,O O S-LOC S-ACC O B-INJURY E-INJURY
일을 하다가 미끄러져 철조물에 찔려 봉합수술을 했어요,S-LOC O S-ACC O O O O
현장에서 붕괴된 철조물에 깔려 다리가 부러졌어요,S-LOC O B-ACC E-ACC B-INJURY E-INJURY
현장에서 낙상해서 뼈가 조각나서 입원했어요,S-LOC S-ACC B-INJURY E-INJURY O
현장에서 청소하다 기계에 있던 물체가 튀어나와서 얼굴을 다쳤어요,S-LOC O O O O O O O
고층에서 업무하다가 낙상해서 갈비뼈가 다 부러졌어요,O S-LOC S-ACC B-INJURY O E-INJURY
배송 일을 하다가 며칠전 트럭에 사고가 났습니다.,B-LOC E-LOC O O O O O
미끄러져서 인대가 끊어져서 수술을 받았어요,S-ACC B-INJURY E-INJURY O O
같이 일하는 동료가 추락사고를 당해서 목에 심한 부상을 입었어,O O O S-ACC O B-INJURY O E-INJURY O
화상으로 얼굴에 흉터가 남을 것 같아요,S-INJURY O O O O O
공장에서 일을하다 손이 설비에 협착되는 큰 사고를 당했어요,S-LOC O O B-ACC E-ACC O O O
미끄러져 철조물에 찔려 수술을 했어,S-ACC O O O O
손가락 협착으로 인해 수술을 받았어요,O S-ACC O O O
직장동료가 일을하다가 손가락이 끼여서 골절 됐어요,O S-LOC O S-ACC S-INJURY O
일하던 도중 화물차 난간에서 미끄러져 떨어지면서 왼쪽무릎 전후방 십자인대 끊어졌어요,S-LOC O O O O S-ACC O O B-INJURY E-INJURY
어머니께서 식당에서 근무하다가 화상을 입었어요,O O S-LOC S-INJURY O
식당에서 어머니가 넘어지져서 인대가 파손되었어요,O O S-ACC B-INJURY E-INJURY
식당에서 근무하시던 어머니가 깨진 접시를 만지다 손에 유리가 들어가 수술했어요,O S-LOC O O O O O O O O
식당 주방에서 물건에 맞아서 골절됬어요,O O B-ACC E-ACC S-INJURY
식당에서 일을 하시던 어머니가 미끄러져서 십자인대가 끊어져 수술했어요,O S-LOC O O S-ACC B-INJURY E-INJURY O
비오는 날 배민 아르바이트를 하다가 교통사고가 나서 현재 다리가 부러져서 수술했습니다.,O O O S-LOC O S-ACC O O B-INJURY E-INJURY O
배민 커넥트를 전동 자전거를 타면서 이동중에 미끄러져서 팔이 부러졌어요,O O O O O O S-ACC B-INJURY E-INJURY
전동 자전거를 타고 배달 아르바이트를 하던중에 마주오던 차에 부딪혀 입원중입니다.,O O O B-LOC E-LOC O O B-ACC E-ACC O
배달 일을 하고 계단에서 내려오다가 넘어져서 팔다라가 부러졌어요,B-LOC E-LOC O O O S-ACC B-INJURY E-INJURY
쿠팡에서 물류 일을 하고 있는데 물건을 꺼내다 무거운 물체에 맞아 타박상과 골절을 당했어요,O O S-LOC O O O O O B-ACC E-ACC B-INJURY E-INJURY O
쿠팡 배송을 하다가 계단에서 넘어져서 팔에 골절이 생겼어요,O S-LOC O O S-ACC B-INJURY E-INJURY O
새벽 배송 일을 하다가 미끄러져서 교통사고를 당했어요,O B-LOC E-LOC O O S-ACC O
건물 지붕에서 일을 하다가 5층 높이에서 떨어져 팔 다리가 모두 골절되어 입원중입니다,O O S-LOC O O O S-ACC B-INJURY I-INJURY O E-INJURY O
수리 작업을 하다가 추락하여 입원중입니다.,O S-LOC O S-ACC O
사다리 위에서 일을 하다가 낙상하였습니다.,O O S-LOC O S-ACC
사다리 위에서 수리 작업을 하던중 추락하여 골절을 입고 현재 입원중입니다.,O O O S-LOC O S-ACC S-INJURY O O O
치킨 배달원으로 일하던중 교통사고 났습니다.,O O S-LOC S-ACC O
비 온 다음날 출근길에 미끄러져 교통사고를 당했습니다.,O O O S-LOC O S-ACC O
비 오는날 배달일을 하러 가던중 차가 미끄러져 사고를 당했습니다.,O O S-LOC O O B-ACC E-ACC O O
출근 중에 뒤에서 차가 박아서 병원에 입원했어요,S-LOC O O B-ACC E-ACC O O
출근 중에 교통사고가 나서 병원에 입원했어요,S-LOC O S-ACC O O O
회사 출근 중에 교통사고가 나서 수술했습니다.,O S-LOC O S-ACC O O
설비를 청소하다가 팔이 끼여 손이 골절됬어요,O O O S-ACC B-INJURY E-INJURY
위에서 떨어지는 설비물체에 맞아 팔이 골절되고 타박상을 입었어요,O B-ACC I-ACC E-ACC B-INJURY E-INJURY S-INJURY O
공장 현장에서 날라오는 물체에 맞아 현재 입원중입니다.,B-LOC E-LOC O B-ACC E-ACC O O
작업 현장에서 떨어지는 물체에 충돌하여 현재 수술후 입원하였습니다.,B-LOC E-LOC O B-ACC E-ACC O O O
건설 현장에서 해체작업을 하다가 깔려 입원하였습니다.,B-LOC E-LOC O O S-ACC O
비계파이프에 충돌하여 좌상을 입었어요,B-ACC E-ACC S-INJURY O
손가락 끼임으로 인해 입원했습니다. 요양비용에 대해 알려주세요.,O S-ACC O O O O O
기계에 손가락이 끼여 타박상 및 철과상을 입었습니다.,B-ACC O E-ACC S-INJURY O S-INJURY O
설비 부품에 맞아 철과상을 입었습니다.,O B-ACC E-ACC S-INJURY O
아버지가 떨어지는 부속물에 머리를 맞아 사망했습니다.,O B-ACC I-ACC O E-ACC S-INJURY
철골빔에서 작업을 하다가 떨어져 뇌진탕 진단을 받았습니다.,O S-LOC O S-ACC S-INJURY O O
남편이 철골 작업을 하다가 추락하여 사망했습니다.,O O S-LOC O S-ACC S-INJURY
남편이 철골빔에서 작업중 떨어져 현장에서 사망했습니다.,O O S-LOC S-ACC O S-INJURY
부속품을 나르던 지게차에 부딪혀 팔과 다리가 골절되어 입원중입니다.,O O B-ACC E-ACC B-INJURY I-INJURY E-INJURY O
건설 현장에서 마주오던 크레인에 부딪혀 입원중입니다.,B-LOC E-LOC O B-ACC E-ACC O
운송 차량에서 떨어지는 물체에 맞고 뇌진탕 진단을 받고 입원중입니다,O O B-ACC E-ACC S-INJURY O O O O
4층에서 떨어지는 물체에 맞아 팔이 부러져 수술을 받고 입원했어요,O O B-ACC E-ACC B-INJURY E-INJURY O O O
지게차에 협착되어 손가락을 절단했어요,B-ACC E-ACC B-INJURY E-INJURY
지붕 작업을 하다가 떨어졌어요,O S-LOC O S-ACC
지붕 수리작업을 하다가 추락하였습니다.,O S-LOC O S-ACC
같이 일하는 직원이 4층 높이에서 추락했어요,O O O O O S-ACC
같이 일하는 직원이 10층 높이에서 떨어졌어요,O O O O O S-ACC
공사장 크레인 적재물 낙하사고가 있었어요,O O B-ACC E-ACC O
물류 센터 현장에서 낙하하는 물건에 머리를 다쳤는데요,O O S-LOC B-ACC E-ACC B-INJURY E-INJURY
아버지께서 공사현장에서 일을 하시다가 실내 구조물이 낙하하여 부상을 당하셨습니다,O S-LOC O O O B-ACC E-ACC O O
회사 지시로 사다리를 타고 천장 작업을 하다가 사다리 발받침부위가 파손되면서 낙하사고가 났습니다.,O O O O O S-LOC O O O O S-ACC O
중량물 낙하사고로 늑골 등 상체가 골절되었습니다.,O S-ACC B-INJURY O O E-INJURY
아파트 27층에서 페인트 작업 중 낙상 사고로 팔이 부러졌습니다.,O O O S-LOC O B-ACC O B-INJURY E-INJURY
엘리베이터 설치 중 3층에서 낙하되어 신경외과에서 수술을 했습니다.,O O O O S-ACC O O O
아버님이 빌라 건설 현장에서 3일 정도 일하시다가 벽돌이 낙하하여 머리를 다치셨어요,O O B-LOC E-LOC O O O B-ACC E-ACC B-INJURY E-INJURY
저희 어머니가 공장에서 일 하시다가 프레스 설비 노후로 인해 올라가던 중 낙하 해서 화상을 입고 다리에 뼈가 부러졌다고 합니다.,O O S-LOC O O O O O O O O S-ACC O S-INJURY O O B-INJURY E-INJURY O
아버님이 빌라 건설 현장에서 3일 정도 일하시다가 벽돌이 낙하하여 머리를 다치셨어요,O O B-LOC E-LOC O O O B-ACC E-ACC B-INJURY E-INJURY
지붕에서 썬라이트 철거 도중 낙하되면서 아래로 떨어졌어요.,O O O O O O S-ACC
작업을 하다가 파이프 낙하로 좌측 엄지 발가락 골절상을 입었는데요.,S-LOC O B-ACC E-ACC O O B-INJURY E-INJURY O
현수막 작업을 하던 중 크레인 와이어가 끊어져 낙하했고 한쪽눈에 상해를 입었습니다.,O S-LOC O O O O O S-ACC B-INJURY E-INJURY O
건설 현장에서 운반중 물건이 낙하되면서 발 뒷굽 살 덩어리가 떨어져 이식수술을 하였습니다.,B-LOC E-LOC O B-ACC E-ACC O O O O O S-INJURY O
제가 일을 하다 낙하로 인하여 인대가 파손되었습니다.,O S-LOC O S-ACC O B-INJURY E-INJURY
2014년 초 낙하사고로 우측 어깨 충격으로 인해 쇄골 골절되었습니다.,O O S-ACC O O O O B-INJURY E-INJURY
식당에서 시설물 낙하로 같이 떨어져 다리를 심하게 다쳤습니다.,O B-ACC E-ACC O S-ACC B-INJURY O E-INJURY
엄지 손가락을 5m쯤에서 낙하하는 쇳덩이에 맞아 손가락이 부었습니다.,O O O B-ACC E-ACC O B-INJURY E-INJURY
