question,label
회사 작업 중 오른손 손가락 절단으로 수술을 두차례받았습니다.,B-LOC E-LOC O B-INJURY I-INJURY E-INJURY O O
제가 이번에 일하다가 넘어져 발목인대 파열 됐습니다.,O O S-LOC S-ACC B-INJURY E-INJURY O
아버지가 몇일 전 실내 건설 근로 중 추락하셔서 머리를 크게 다치셨어요,O O O O O S-LOC O S-ACC B-INJURY O E-INJURY
근무중 계단에서 내려오다가 바닥에 깔린 높이가 다른 장판을 인지하지못해 넘어졌습니다.,S-LOC O O O O O O O O S-ACC
일을 하다가 화상을 입어서 종합병원 가서 치료를 하는중입니다.,S-LOC O S-INJURY O O O O O
퇴근할때 동료랑 걷다가 앞서가던 다른 동료가 뒤로 휙 도는 바람에 그 사람 발에 걸려 넘어졌습니다.,S-LOC O O O O O O O O O O O O B-ACC E-ACC
건설 현장에서 시스템 비계 설치일을 하다 낙상사고를 당하였습니다.,B-LOC E-LOC O O O O S-ACC O
제가 오늘 일하다가 판넬에 손가락이 끼어 갈라져서 4바늘을 찝었어요,O O O O O S-ACC O O O
작업도중 추락하여 요추1번골절로 인하여 현재치료중입니다,S-LOC S-ACC S-INJURY O O
와이어에 손가락이 끼어 좀 심하게 다쳤습니다 신경이 70%끈어졌고 일단 봉합은 한상태입니다.,B-ACC O E-ACC O O O O O O O O
한달전에 개인주택 공사현장 에서 작업하다 3m높이 에서 추락하여 발뒤꿈치 골절과 척추손상을 입었는데요..,O O S-LOC O O O O S-ACC B-INJURY E-INJURY O O
일을 하던 도중 팔과 팔뚝에 심한 화상을 입어 몇 차례 통원 치료를 받는중입니다.,S-LOC O O O B-INJURY O E-INJURY O O O O O O
납품 기사님이 납품가셨다가 타업체 지게차운전자의 미숙으로 사고가 발생했습니다.,O O O O O O O O
고깃집에서 알바를 하다가 사장님이 실수로 뜨거운 기름을 손에 부어서 화상을 입었어요,O S-LOC O O O O O O O S-INJURY O
출퇴근 방법이 같은회사 직원차에 동승하고 가면서 교통사고가 발생할 경우에도 산재보상이 가능한가요?,S-LOC O O O O O S-ACC O O O O
아버지가 근무중 지게차와 부딛혀 수술중 중환자실에 계신상태입니다.,O S-LOC O S-ACC O O O
출근하다 횡단보도에서 마주오는 차량에 치어 교통사고를 당했습니다.,S-LOC O O O O S-ACC O
건설현장 에서 떨어지는 전선케이블에 부딛혀 손목이 부러졌습니다.,S-LOC O O O S-ACC B-INJURY E-INJURY
새벽배달을 나가던 과정에서 계단에서 미끄러져 발목이 부러졌습니다.,S-LOC O O O S-ACC B-INJURY E-INJURY
전동글라인더 작업을 하다가 글라인더에 발가락이 끼어 찢어졌습니다.,O S-LOC O O O S-ACC O
신랑이 3층에서 떨어지는 판넬에 깔려 다리를 다쳤습니다.,O O S-ACC O O B-INJURY E-INJURY
주방에서 냉면자르는 기계에 손이 끼어 근육손상 봉합수술을 했습니다.,O O B-ACC O E-ACC B-INJURY E-INJURY O
작업장에서 운반을 하던중 시멘트 포대에 깔려 인대가 파열 되었습니다.,S-LOC O O O B-ACC E-ACC B-INJURY E-INJURY O
마무리 작업중 미끄러운 계단에서 넘어졌습니다.,O S-LOC O O S-ACC
배달중 교통사고가 나서 현재까지 2개월쨰 입원중입니다.,S-LOC S-ACC O O O O
저의 부주의로 기계에 손가락을 끼었는데 이것도 산재처리 가능한가요?,O O O B-ACC E-ACC O O O
남자친구가 회사에서 일하던중 사다리에서 떨어져서 다리에 철근박는 수술을 했습니다,O O S-LOC B-ACC E-ACC B-INJURY E-INJURY O O
얼마전 작업중 쏟아져내리는 토사에 파묻혀 허벅지 근육이 파열됐습니다.,O S-LOC O O S-ACC B-INJURY E-INJURY O
2층에 있는 작업도구를 꺼내기위해 사다리에 올라가다 떨어지는 사고를 당했습니다.,O O O O B-ACC O E-ACC O O
제가 학습지 선생님인데 보행중 아이가 타고오던 자전거에 부딛혀 허리를 삐끗했습니다.,O O O O O O B-ACC E-ACC B-INJURY E-INJURY
최근 현장에서 작업중 떨어지는 물건을 피하지 못해 손가락이 잘렸습니다.,O O S-LOC B-ACC E-ACC O O B-INJURY E-INJURY
건설 현장에서 넘어져 연골 절제 수술을 했습니다.,S-LOC O S-ACC B-INJURY I-INJURY E-INJURY O
회사에서 불이나서 3도화상을 입어 병원을 다니고 있습니다.,O S-ACC S-INJURY O O O O
아버지가 출근중 교통사고를 당하셔 수술후 지금 중환자실에 계십니다.,O S-LOC S-ACC O O O O O
퇴근중 횡단보도를 건너던중 신호를 무시하고 오던 차량에 치었습니다.,S-LOC O O O O O B-ACC E-ACC
전기 전선작업중 케이블을 천장에서 내리는 과정에서 천장이 무너져 머리를 부딛혔습니다.,O S-LOC O O O O B-ACC I-ACC O E-ACC
배달중 3층에서 걸어내려오다 계단에서 넘어져 발목인대가 파열됬습니다.,S-LOC O O O S-ACC B-INJURY E-INJURY
소형전동 글라인더로 절삭 작업을 하던중 튄 파편이 눈에 튀어 병원을 다니고있습니다.,O O O S-LOC O O O O O O O
신랑이 일을 하다가 사다리에서 떨어져 무릎인대가 파열됐습니다.,O S-LOC O B-ACC E-ACC B-INJURY E-INJURY
식당에서 일을하다 화장실에서 넘어져 뇌진탕을 입었습니다.,O S-LOC O S-ACC B-INJURY O
작업장에서 시멘트 포대 운반을 하던 중에 무게를 이기지 못하고 넘어져 경추1번 손상을 입었습니다.,S-LOC O O O O O O O O S-ACC B-INJURY E-INJURY O
작업중 2층의 화장실을 가다가 계단에서 굴러 떨어졌습니다.,S-LOC O O O O B-ACC E-ACC
배달중 마주오는 오토바이에 치이는 교통사고를 당했습니다.,S-LOC O O O S-ACC O
나무 절삭 작업중 그라인더에 손가락을 끼어 첫째마디가 부러졌습니다.,O O S-LOC O B-ACC E-ACC B-INJURY E-INJURY
남자친구가 회사에서 일하다가 화재사고가 나서 화상을 입었습니다.,O O S-LOC S-ACC O S-INJURY O
작업중에 옆사람이 걷어낸 돌에 머리를 부딛혀 치료를 받는 중입니다.,S-LOC O O B-ACC O E-ACC O O O
무거운 공구를 들고가던중 넘어져 손목이 부러졌습니다.,O O O S-ACC B-INJURY E-INJURY
가정방문을 나가던중 얼어있는 도로에 미끄러져 넘어졌습니다.,O O O O B-ACC E-ACC
현장에서 고장난 기계를 수리하던 중에 작동 미숙으로 손가락이 끼었습니다.,S-LOC O O O O O O B-ACC E-ACC
건설현장 에서 작업지시를 하다 포크레인에 머리를 세게 부딛혔습니다.,S-LOC O O O O O O S-ACC
치킨을 튀기다가 튄 기름에 손등에 3도화상을 입었습니다.,O O O O O S-INJURY O
무거운 장비를 들다가 손에서 미끄러져 장비에 깔렸습니다.,O O O O O B-ACC E-ACC
일하던중 바람이 강하게 불어 문에 손가락을 찧어 깁스를 하고있습니다.,S-LOC O O O B-ACC O E-ACC O O
미끄러운 바닥에서 균형을 잡지못해 넘어져 발목을 접질렀습니다.,O O O O S-ACC B-INJURY E-INJURY
기계를 수리하는 작업중 손가락이 껴 뼈가 으스러졌습니다.,O O S-LOC B-ACC E-ACC B-INJURY E-INJURY
사다리를 타고 청소를 하던중 낙상해 손가락이 부러졌습니다.,O O O O S-ACC B-INJURY E-INJURY
일하다가 무너지는 천장에서 떨어진 철골에 부딪혀 어깨가 부러졌습니다.,S-LOC O O O B-ACC E-ACC B-INJURY E-INJURY
출근길에 마주오는 전동킥보드와 부딪혀 골절을 당했습니다.,S-LOC O O S-ACC S-INJURY O
포크레인이 치우던 돌에 부딪혀 발등이 부서졌습니다.,O O B-ACC E-ACC B-INJURY E-INJURY
신랑이 일하다가 창고에있는 물품에 깔려 입원중입니다.,O O O B-ACC E-ACC O
고기굽는 아르바이트를 하다가 숯불에 화상을 입었습니다.,O S-LOC O O S-INJURY O
다른 작업자와 장비를 옮기던중 장비를 놓쳐 장비에 깔려 발가락 골절을 당했습니다.,O O O O O O B-ACC E-ACC B-INJURY E-INJURY O
앞선 작업자가 문을 닫는걸 확인하지 못하고 문에 손가락을 찧어 골절상을 당했습니다.,O O O O O O B-ACC O E-ACC S-INJURY O
냉동창고의 바닥이 너무 미끄러워 넘어져 손목이 부러졌습니다.,O O O O S-ACC B-INJURY E-INJURY
출근한지 3일됐는데 기계 조작미숙으로 기계에 손가락이 끼어 부러졌습니다.,O O O O B-ACC B-INJURY E-ACC E-INJURY
2층 계단에서 떨어져 손가락이 부러졌습니다.,O O S-ACC B-INJURY E-INJURY
일하다가 날아온 쇠봉에 머리를 강하게 맞았습니다.,S-LOC O B-ACC O O E-ACC
전동킥보드를 타고 출근하던중 속도를 제어하지못하고 가로수에 박았습니다.,O O S-LOC O O B-ACC E-ACC
"지게차에 실린 물건을 하차하던중 물건에 깔려 다쳤습니다,.",O O O O B-ACC E-ACC O
신랑이 일하다가 창고 2층에서 떨어져서 발목인대가 파열됐습니다.,O O O O S-ACC B-INJURY E-INJURY
지게차가 무게를 못이기고 전복되어 안에 타고있던 제가 다쳤습니다.,B-ACC O O E-ACC O O O O
회사 작업중 기계에 손이 끼어 손목신경의 50퍼센트를 잃었습니다.,O S-LOC B-ACC O E-ACC S-INJURY O O
일하다가 미끄러운 바닥에 넘어져 인대가 파열됐습니다.,S-LOC O O S-ACC B-INJURY E-INJURY
아버지가 아파트 건설현장에서 추락해 두개골이 함몰 되셨습니다.,O O S-LOC S-ACC B-INJURY E-INJURY O
물건을 잔뜩 옮기던중 앞의 계단턱을 인지못하고 걸려 넘어졌습니다.,O O O O O O B-ACC E-ACC
일을하다 뜨거워진 기계를 손으로 잡아 화상을 입었습니다.,S-LOC O O O O S-INJURY O
퇴근중 뛰어오던 동료와 부딪쳐 십자인대가 파열됐습니다.,S-LOC O B-ACC E-ACC B-INJURY E-INJURY
"아파트 실외기를 설치하던중 외부 철골이 무너져 낙상사고를 당했습니다,.",O O O O O O S-ACC O
조립작업을 하다가 맞물리는 홈에 손가락이 끼어 살이 찢어져 4바늘을 꿰맸습니다.,S-LOC O O O O S-ACC B-INJURY E-INJURY O O
높은 사다리에서 작업을하다 사다리가 무너져 떨어졌습니다.,O O O O O S-ACC
합판을 자르던중 톱과 합판에 손가락이 끼어 검지손가락의 신경이 끊어졌습니다.,O O O B-ACC O E-ACC B-INJURY I-INJURY E-INJURY
인테리어 작업을 하던중 2M 높이에서 추락해 발목이 부러졌습니다.,O S-LOC O O O S-ACC B-INJURY E-INJURY
음식점에서 마무리 청소를 하다 바닥에 뿌린세제에 미끄러져 넘어졌습니다.,O O O O O O O S-ACC
덤프트럭으로 토사를 옮기던중 덤프가 전복되는 사고를 당했습니다.,O O O O S-ACC O O
작업중에 발이 끼어 발등이 으스러졌습니다.,S-LOC O S-ACC B-INJURY E-INJURY
컨테이너를 옮기던중 물건이 쏟아져서 쏟아진 물건에 깔렸습니다.,O O O O O B-ACC E-ACC
아버지가 연세가 많으신데 건설현장에서 일하다 다치셔서 더이상 일을할수 없을거같아요,O O O S-LOC O O O O O
아버지가 공사현장에서 넘어져서 더이상 일을 못하실거 같아요.,O S-LOC S-ACC O O O O
뜨거워진 기계에 화상을 입어 팔뚝의 피부가 짓물렀습니다.,O O S-INJURY O O O O
퇴근하는 길에 쌀쌀해진 날씨에 도로가 얼어 미끄러져 넘어졌습니다.,S-LOC O O O O O O S-ACC
인테리어 작업을하는 과정에서 천장의 전등이 떨어지며 머리를 5바늘 꿰멨습니다.,O O O O B-ACC E-ACC B-INJURY O E-INJURY
경첩에 손가락이 끼어 중지가 골절됐습니다.,B-ACC O E-ACC B-INJURY E-INJURY
물건을 운반하던중 작업중이던 와이어에 걸려 넘어져 턱이 부서졌습니다.,O O O O O S-ACC B-INJURY E-INJURY
기계에 손가락이 빨려들어가 손가락 절단 사고를 당했습니다.,B-ACC O E-ACC B-INJURY E-INJURY O O
공사현장에서 떨어지는 자재에 맞아 발가락이 부러졌습니다.,S-LOC O O S-ACC B-INJURY E-INJURY
출근중에 신호위반을 한 차량과 부딪쳐 교통사고가 났습니다.,S-LOC O O O O S-ACC O
회사차를 타고 출근하던중 교통사고가 났습니다.,O O S-LOC S-ACC O
공사현장에서 지지대가 무너져 넘어지는 판넬에 깔렸습니다.,O O O O B-ACC E-ACC
아파트 건설현장에서 위에서 떨어지는 공구를 인지하지 못하고 어깨에 맞아 어깨가 안올라가요,O S-LOC O O O O O O O O O
공장 청소를 하는데 위에 창문청소를 하다가 사다리에서 떨어졌어요,O O O O O O O S-ACC
현장에서 정전기때문에 불이나서 불을 끄다가 화상을 입었어요,S-LOC O S-ACC O O S-INJURY O
공장에서 기계가 폭발하면서 날아오는 파편에 맞아서 뇌진탕을 입었습니다.,S-LOC O O O B-ACC E-ACC S-INJURY O
"공장에서 기계가 폭발하면서 불이나서 3도 화상을 입었습니다,.",S-LOC O O S-ACC B-INJURY E-INJURY O
"일주일전 출근길 좌회전하다, 직진차량과 교통사고가 났습니다.",O S-LOC O O S-ACC O
출근길 교통사고가 났는데요 불법유턴을 하던 앞차와 사고가 났습니다.,S-LOC S-ACC O O O O O O
컨베이어 벨트 위에 쌓여있는 물건이 쏟아져서 피하지 못하고 무거운 박스에 손목을 박았습니다.,O O O O O O O O O O O O
배달일을 하던중에 빗물에 미끌어져 넘어져서 3달째 병원을 다니고 있습니다.,S-LOC O O O S-ACC O O O O
출근길 신호를 기다리던중에 뒤에오던 차량에 박아서 2달째 입원중입니다.,S-LOC O O O B-ACC E-ACC O O
가로수 이식작업중 나무가 넘어져 나무에 깔렸어요.,O O O O B-ACC E-ACC
엄마가 음식점에 나가시는데 식당 청소를 하시다 넘어지셨어요,O O O O O O S-ACC
아버지가 근무하시는 사무실에 불이나서 불을 끄시다가 화상을 입으셨어요.,O O O S-ACC O O S-INJURY O
회식중에 숯불에 손을 데여 3도 화상을 입었습니다.,S-LOC O O O B-INJURY E-INJURY O
상하차 일을하던중 컨베이어벨트에서 쏟아지는 물건을 피하지 못하고 깔려서 발목인대가 파열됐어요.,O S-LOC O O O O O S-ACC B-INJURY E-INJURY
기계에 기름칠을 하다가 손가락이 끼여 골절이 되었어,O O O B-ACC E-ACC S-INJURY O
강풍에 일을 하다가 지붕이 날아가 깔렸어,O S-LOC O O O S-ACC
기계에 손이 끼어서 다쳤어,B-ACC O E-ACC O
틀에 발이 끼어서 다칠뻔했어,B-ACC O E-ACC O
틀에 발이 들어가서 넘어져서 다쳤어,B-ACC O E-ACC S-ACC O
지나가다가 위에서 못이 떨어져서 맞았어,O O B-ACC I-ACC E-ACC
작업중 미끄러워서 넘어져서 봉에 맞았어,S-LOC O S-ACC B-ACC E-ACC
바닥에 기름칠이 되어있어서 넘어져서 허리를 다쳤어,O O O S-ACC B-INJURY E-INJURY
지나가는 도중 바닥이 미끄러워서 넘어져서 입원을 하게 되었어,O O O O S-ACC O O O
흡연 중 불이 나서 공사에 필요한것이 탔어,O O B-ACC E-ACC O O O
회식을 하러가는 도중 교통사고가 났어,S-LOC O O S-ACC O
바람에 날려서 철근이 뒤집혀서 다칠뻔했어,O O O O O
바람이 강하게 불어서 창문이 떨어져서 맞았어,O O O B-ACC I-ACC E-ACC
휴게실에 가는 도중 시설관리가 잘 안되어있어서 간판이 떨어져서 어깨를 다쳤어,O O O O O O B-ACC E-ACC B-INJURY E-INJURY
화장실에 가는 길에 바닥이 미끄러워서 넘어졌어,O O O O O S-ACC
엘레베이터가 고장나서 2층높이에서 떨어졌어,O O O S-ACC
안전모를 쓰고있는데 위에서 공구가 떨어져서 맞았어,O O O B-ACC I-ACC E-ACC
안전모를 쓰고 있는데 공구가 떨어져서 맞았지만 큰 외상은없어,O O O B-ACC I-ACC E-ACC O O
페인트를 바르는 도중 떨어졌어요,O O O S-ACC
미끄러운 철근에서 일을 하다가 넘어졌어요,O O O O S-ACC
술먹고 작업장에서 기둥에 박아서 머리를 다쳤어요,O O B-ACC E-ACC B-INJURY E-INJURY
바닥을 닦다가 천장이 금이가 부스러기들에 맞았어요,O O O O B-ACC E-ACC
계단에서 우당탕 넘어져서 허리를 다쳤어요,O O S-ACC B-INJURY E-INJURY
기름통을 다루다가 화재폭발이 일어났어,O O S-ACC O
안전모 들을 걸어놓았는데 떨어지는 바람에 머리에 맞았어,O O O B-ACC O O E-ACC
음식을 데피는데 까먹고 있다가 불이 났어,O O O O B-ACC E-ACC
기름으로 튀김을 튀기고 있는데 화재가 났어,O O O O B-ACC E-ACC
음식을 뎁히는데 너무 오래 방치해서 화재가 났어,O O O O O S-ACC O
밥솥 전선에서 스파크가 튀어 불이 났어,O O O O B-ACC E-ACC
밥솥 전선에 문제가 있었나봐 그 근처에서 화재가 났어,O O O O O O B-ACC E-ACC
컨테이너 지붕이 무너져 추락 사고 당했습니다,O O O S-ACC O O
아버지가 짐칸을 내리시다가 추락하는 사고가 일어났어,O O O S-ACC O O
아파트 공사현장에서 도배작업을 하다 추락했어,O S-LOC O O S-ACC
아버지가 화물배송업무인데 짐을 싣기 위헤 칸을 올라가시다가 추락하셨어,O S-LOC O O O O O S-ACC
천장 조명 작업을 하고 내려오다 사다리가 망가지면서 떨어졌어,O O S-ACC O O O O S-ACC
골프장에서 골프카트에 치여서 전치 8주가 나왔어,O B-ACC E-ACC B-INJURY E-INJURY O
남편이 선박 엔진룸에서 케이블 설치 작업 중 추락 후 사망했어,O O O O O S-LOC O S-ACC O S-INJURY
석유운반선 내부에서 작업 중 화재가 일어나 중상을 입었어,O O S-LOC O S-ACC O O O
천장에 달린 크레인을 조작하다 추락해 다리 뼈가 다 아작났습니다,O O O O S-ACC O B-INJURY O E-INJURY
25톤 화물차를 옮기던 도중 교통사고가 나 척추와 갈비뼈가 다 골절되고 같이 일하던 동료는 사망했습니다,O O O O S-ACC O B-INJURY I-INJURY O E-INJURY O O O S-INJURY
제 남편이 공사 현장에서 철근 자재들이 떨어지면서 밑에 깔려 숨졌습니다,O O B-LOC E-LOC B-ACC I-ACC E-ACC O S-ACC S-INJURY
"하역 장비 정비 작업 중 모래, 석탄 등을 담는 통이 아래로 떨어지면서 동료를 덮쳤습니다",O O O S-LOC O O O O O B-ACC O E-ACC O O
배 안에 놓은 굴삭기가 움직이면서 굴삭기와 선박 기둥 사이에 제 아들의 머리가 끼여 사망했습니다,O O O O O O O B-ACC I-ACC O O O E-ACC S-INJURY
컨테이너 날개를 접는 작업을 하다 갑작스럽게 접힌 날개에 깔려 죽었습니다,O O O S-LOC O O O B-ACC E-ACC S-INJURY
작업차와 지게차가 추돌해 허리가 골절되었습니다,B-ACC I-ACC E-ACC B-INJURY E-INJURY
작업 도중 지게차에 깔려 신경마비가 와 다리를 절단했습니다,S-LOC O B-ACC E-ACC O O B-INJURY E-INJURY
주택 공사 현장에서 중량물에 맞아 어깨가 골절되었습니다,O B-LOC E-LOC B-ACC E-ACC B-INJURY E-INJURY
오빠가 공사 현장에서 건설 차량의 손상으로 차량 부품과 충돌해 사망했습니다,O B-LOC E-LOC O O O B-ACC I-ACC E-ACC S-INJURY
집진기 보강공사 중 부식된 배관 파손으로 인해 추락해 전치 8주를 받았습니다,O S-LOC O O O O O S-ACC B-INJURY E-INJURY O
남자친구가 야간근무를 하려고 오토바이를 타고 출근하는 도중 20톤 트럭과 충돌해 사망했어,O O O O O S-LOC O O B-ACC E-ACC S-INJURY
크레인 정비 도중 설비에 몸이 끼여서 몸 절반 정도 뼈가 으스러졌어,O S-LOC O B-ACC O E-ACC O O O B-INJURY E-INJURY
작업을 하러 가던 도중 크레인에 달려있던 적자재에 부딪혀 공사장 바깥으로 추락해 사망했어,S-LOC O O O O O B-ACC E-ACC O O S-ACC S-INJURY
동료가 작업 중 작업차와 공사 기둥 사이에 끼어 전치 10주가 나왔습니다,O S-LOC O O O B-ACC I-ACC E-ACC B-INJURY E-INJURY O
플라스틱 공장에서 대형화재가 발생해 저를 포함한 32명의 동료들이 중상 또는 사망했습니다,O O S-ACC O O O O O S-INJURY O S-INJURY
화물차와 지게차가 추돌해 지게차가 뒤집히면서 제가 깔렸습니다,O O O O O O S-ACC
철판 구조물 위에 있던 3톤 가량의 철판이 흘러내리면서 깔려 사망,O O O O O O B-ACC O E-ACC S-INJURY
용접작업 중 화재가 발생하여 얼굴과 상반신이 5도 화상을 입었습니다,O O S-ACC O O O B-INJURY E-INJURY O
동료가 자동용접 작업 중 블록 지지용 받침대 위에 놓인 철판이 흘러내리면서 머리가 받침대에 끼어 사망했어,O O S-LOC O O O O O O B-ACC O O I-ACC E-ACC S-INJURY
작업하는 곳을 가기 위해 좁은 통로를 지나가다 발이 미끄러져 추락했어 옆에는 최소한의 난간 조차 없었고,O O O O O O O O O S-ACC O O O O O
친구가 오토바이 배달 도중 우회전 하던 차와 충돌해 튕겨져 나갔는데 전방에서 오던 차에 깔려 사망했어,O O S-LOC O O O O S-ACC O O O O B-ACC E-ACC S-INJURY
회식 중 상사가 술에 취해 제 얼굴에 잔을 던졌습니다,S-LOC O O O O O O O O
동료와 작업 후 잠깐 휴식 중에 난간에 기대있다가 추락했어,O S-LOC O O O O O O S-ACC
퇴근할려고 엘리베이터에 타고 내려가다가 엘리베이터가 추락해 다리와 팔이 골절 되었습니다,S-LOC O O O O S-ACC B-INJURY I-INJURY E-INJURY O
승강기 작업을 하던 도중 승강기가 추락해 중상을 입었어,O S-LOC O O O S-ACC O O
건설현장에서 일하다가 추락 사고로 갈비뼈가 부러졌어,S-LOC O S-ACC O B-INJURY E-INJURY
건물지붕에서 작업을 하다 떨어져 뇌출혈로 인해 수술을 했어,O S-LOC O S-ACC S-INJURY O O O
건물 철거 작업 도중 건물이 붕괴하면서 미쳐 못 나온 동료 2명이 숨졌어,B-LOC I-LOC E-LOC O B-ACC E-ACC O O O O O S-INJURY
일하던 도중 화재가 발생하면서 불이 붙은 자재들이 떨어지면서 밑에 깔려 하반신 절단을 했어,S-LOC O S-ACC O O O B-ACC I-ACC O E-ACC B-INJURY E-INJURY O
동생이 물류창고에서 일하다가 화재가 발생 해 사망했어,O O S-LOC S-ACC O O S-INJURY
건설 현장에서 퇴근 후 숙소에서 쉬던 도중 화재가 발생해 동료가 화상을 입었는데 산재가 되나요?,B-LOC E-LOC S-LOC O O O O S-ACC O O S-INJURY O O O
출근중 옆 차선의 차가 신호 없이 갑작스럽게 끼어들어 박았습니다,S-LOC O O O O O O O S-ACC
업무 도중 높이 30m에 달하는 곳에서 떨어졌어,S-LOC O O O O O S-ACC
버스 운행 도중 35톤 가량의 화물차와 충돌해 차가 뒤집혀 뇌출혈과 팔이 골절됬어,B-LOC E-LOC O O O B-ACC E-ACC O O S-INJURY B-INJURY E-INJURY
화물차 운반 도중 분기점 진입로에 있는 시설물을 들이받고 전도되어 다리가 골절됬어,O O O O O O B-ACC I-ACC E-ACC B-INJURY E-INJURY
화학공장 화재 진화 작업 도중 화상을 입었어,O O O O O S-INJURY O
물양장 공사 수중 작업 중 지반이 무너지면서 포크레인의 붕대에 머리를 맞아 뇌진탕 진단 받음,O O O S-LOC O O O B-ACC I-ACC O E-ACC S-INJURY O O
작업 도중 미끄러져 회전근개파열이라고 진단 받았습니다 산재가 가능한가요?,S-LOC O S-ACC S-INJURY O O O O
오토바이 배달 중 넘어지면서 오토바이에 깔려 우측 발이 골절 됬어요,O S-LOC O O B-ACC E-ACC O B-INJURY E-INJURY O
점심시간 중 사업장 내 잔디밭에서 동료들과 축구경기를 하다가 사고가 났어,O O O O O O O O O O
출장 가기위해 주차장으로 이동하던 중 오토바이에 부딪혔어,S-LOC O O O O B-ACC E-ACC
차를 운전해 작업장으로 출근 중 상대방 차량과 충돌했어,O O O S-LOC O O B-ACC E-ACC
사업장 지하주차장에 차량을 주차하고 이동 중 바닥 빗물로 인해 미끄러 넘어져 다쳤어,S-LOC O O O O O O O O B-ACC E-ACC O
아빠가 아파트 관리인이셨는데 아파트 내 좌회전 하던 차량에 부딪혀 사망했어,O O O O O O O B-ACC E-ACC S-INJURY
목재가공 도중 절단된 판재가 얼굴로 날아왔어,S-LOC O B-ACC I-ACC O E-ACC
풀베기 작업 중 예초기 날에 돌이 튀어 머리를 맞았어,O S-LOC O O O B-ACC I-ACC O E-ACC
제가 작업 도중 낙하사고가 일어나 우측 하지 완전절단 진단을 받았습니다,O S-LOC O S-ACC O O B-INJURY E-INJURY O O
계단 공구현장에서 대리석 시공 중 대리석을 들고있는 끈이 끊어져 중심을 잃고 추락했어,O O O S-LOC O O O O O O O S-ACC
물류창고에서 일하다 자재에 깔려 십자인대 파열 진단을 받았는데 보험급여 차액을 지급 받을 수 있을까?,O O B-ACC E-ACC B-INJURY E-INJURY O O O O O O O O
근로계약을 하고 나무 위에서 잣을 채취 중 추락해 다리 골절 진단을 받았어,O O O O O S-LOC O S-ACC B-INJURY E-INJURY O O
아버지가 엘리베이터 공사를 하시다가 엘리베이터가 떨어져 사망하셨는데 유족급여를 받을 수 있을까?,O O S-LOC O O S-ACC S-INJURY O O O O
공사 현장에서 작업 중 인근에 설치되있던 pc방호벽이 기울어지면서 좌측 상반신쪽이 깔려서 늑골 골절 진단을 받았어,B-LOC I-LOC E-LOC O O O O O O O S-ACC B-INJURY E-INJURY O O
안테나 위치를 수정하는 작업을 하던 중 지붕 위에서 약 3m 아래로 떨어졌어요,O O O S-LOC O O O O O O O S-ACC
개인공사 현장에서 조경공사 업무 중 사다리에서 미끄러져 추락해 오른쪽 발을 다쳤는데 요양급여를 받을 수 있나?,B-LOC I-LOC O E-LOC O B-ACC O E-ACC O B-INJURY E-INJURY O O O O